case_id,task_gain,mu_gain,gamma,substeps,activation_power,activation_exp_clip,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg220_mu16_g2560_ns80,220.0,16.0,2560.0,80,0.85,4.0,ok,9.619172944340729e-06,1.4704839883134336e-06,2.8703568443110655e-06,0.5123815551144325,2.7646172999993723,3.3619437420097036
tg220_mu16_g3072_ns60,220.0,16.0,3072.0,60,0.85,4.0,ok,6.853398056712841e-06,1.5133979764980362e-06,3.528800994305835e-06,0.5123851277324375,2.262552799998957,3.367388885004002
tg180_mu16_g3072_ns80,180.0,16.0,3072.0,80,0.85,4.0,ok,8.389518079375938e-06,1.7764245632081678e-06,3.0929343510229917e-06,0.5123842574146416,2.8014804999984335,3.3745098662826187
tg220_mu16_g2560_ns100,220.0,16.0,2560.0,100,0.85,4.0,ok,9.63436775868619e-06,1.4716061840714462e-06,2.9340872297291007e-06,0.5123815538189685,3.5116225999991,3.4024439036940457
tg180_mu12_g3072_ns80,180.0,12.0,3072.0,80,0.8,4.0,ok,3.562451679636594e-06,2.4386252867972235e-06,4.12810162337529e-06,0.5123590415019121,2.8030641000004834,3.4225162137557708
tg180_mu20_g2560_ns80,180.0,20.0,2560.0,80,0.85,4.0,ok,1.5377591928427693e-05,1.7970038875519736e-06,1.6506586980769924e-06,0.5123757507022271,3.015438099999301,3.5165957970563744
tg220_mu16_g2560_ns60,220.0,16.0,2560.0,60,0.85,4.0,ok,9.595378550212427e-06,1.4803622617136643e-06,3.138680569494783e-06,0.5123816225155938,2.1486355000015465,3.520824834545569
tg180_mu20_g2560_ns100,180.0,20.0,2560.0,100,0.85,4.0,ok,1.5402811912778307e-05,1.7982697410528913e-06,1.6980240533797789e-06,0.5123757439193714,3.2739140999983647,3.54876957325621
tg220_mu20_g2560_ns60,220.0,20.0,2560.0,60,0.8,4.0,ok,7.998564785874717e-06,2.376131791685471e-06,3.3253324425985625e-06,0.5123474708359713,2.1775993000010203,3.5664606365327334
tg180_mu20_g2560_ns60,180.0,20.0,2560.0,60,0.85,4.0,ok,1.5337334643452484e-05,1.8031831441983203e-06,1.862779953023662e-06,0.5123758238282956,2.2099775000024238,3.6388296957994672
tg260_mu20_g2048_ns80,260.0,20.0,2048.0,80,0.85,4.0,ok,1.5634915637552476e-05,1.2453078505207271e-06,2.024997681549403e-06,0.5123734110106396,2.8746785999974236,3.6771383607646255
tg260_mu20_g2048_ns100,260.0,20.0,2048.0,100,0.85,4.0,ok,1.5656715563602763e-05,1.245018553585627e-06,2.0237689829331274e-06,0.5123734224736132,3.331077599999844,3.67947367301642
tg180_mu16_g3072_ns60,180.0,16.0,3072.0,60,0.85,4.0,ok,8.376037843137584e-06,1.8496857051768871e-06,3.5951681852175418e-06,0.5123853864133152,2.2244452000013553,3.68629397445234
tg180_mu20_g2048_ns60,180.0,20.0,2048.0,60,0.8,4.0,ok,1.5485188647658267e-05,2.083320604456663e-06,1.8298875738635623e-06,0.512346716256569,2.2209884000003512,3.69122732665362
tg260_mu20_g2048_ns60,260.0,20.0,2048.0,60,0.85,4.0,ok,1.5599377323716205e-05,1.2340537950785314e-06,2.069978776064962e-06,0.512373392506542,2.2446664000017336,3.6969080279046698
tg220_mu16_g2560_ns60,220.0,16.0,2560.0,60,0.8,4.0,ok,5.930292512514949e-06,2.3781556889548384e-06,4.045535886381763e-06,0.512350937950058,2.1520058999994944,3.701334067906297
tg180_mu16_g2560_ns80,180.0,16.0,2560.0,80,0.85,4.0,ok,1.175660868699113e-05,1.791650845270943e-06,2.882180140710067e-06,0.5123809289415217,2.812228099999629,3.7335454432034694
tg180_mu16_g2560_ns100,180.0,16.0,2560.0,100,0.85,4.0,ok,1.1775180909012271e-05,1.7985458231846688e-06,2.8840275517884923e-06,0.5123809262980055,3.447489099999075,3.7385634887398744
tg260_mu16_g2048_ns100,260.0,16.0,2048.0,100,0.85,4.0,ok,1.1994514878283601e-05,1.2450226031771227e-06,3.0724478656267073e-06,0.5123784614218969,3.337000800001988,3.7821268387974225
tg260_mu16_g2048_ns80,260.0,16.0,2048.0,80,0.85,4.0,ok,1.1978503427376136e-05,1.245278554342292e-06,3.08274293458278e-06,0.5123784523751289,2.7411676999981864,3.786037612322225
tg260_mu16_g2048_ns60,260.0,16.0,2048.0,60,0.85,4.0,ok,1.1952589204480905e-05,1.238302365232797e-06,3.1453024906492754e-06,0.51237843205321,2.139188799999829,3.8184774385309286
tg180_mu16_g2560_ns60,180.0,16.0,2560.0,60,0.85,4.0,ok,1.172754479002983e-05,1.80927168059623e-06,3.1120410557107576e-06,0.5123810080073514,2.2341204000003927,3.870072137160001
tg220_mu20_g2048_ns80,220.0,20.0,2048.0,80,0.85,4.0,ok,1.8477590770170908e-05,1.4714793157833463e-06,1.8110229801956685e-06,0.5123713724602816,2.7326200999996217,3.9974480360808813
tg220_mu20_g2048_ns100,220.0,20.0,2048.0,100,0.85,4.0,ok,1.8503354740358615e-05,1.4712281952367388e-06,1.808606274360067e-06,0.5123713861711255,3.3048553000007814,3.999647532095458
tg220_mu20_g2048_ns60,220.0,20.0,2048.0,60,0.85,4.0,ok,1.8435592328433036e-05,1.4604914057592904e-06,1.8482671498600644e-06,0.5123713514952579,2.327374799999234,4.011712890540566
tg220_mu16_g2048_ns100,220.0,16.0,2048.0,100,0.85,4.0,ok,1.4175280721741853e-05,1.4713678953453073e-06,2.9282128306478416e-06,0.5123773813054264,3.2945770999976958,4.04936479048964
tg220_mu16_g2048_ns80,220.0,16.0,2048.0,80,0.85,4.0,ok,1.4156357831366668e-05,1.4716829656996716e-06,2.938952299584633e-06,0.5123773706487661,2.7736780000013823,4.053135058645127
